"front","back"
"Qual é a capital da Mongólia?","Ulan Bator"
"Qual é a capital de Taiwan?","Taipei"
"Qual é a capital da Austrália?","Camberra"
"Qual é a capital da Nova Zelândia?","Wellington"
"Qual é a capital do Egito?","Cairo"
"Qual é a capital da África do Sul?","Pretória, Cidade do Cabo e Bloemfontein"
"Qual é a capital da Nigéria?","Abuja"
"Qual é a capital do Quênia?","Nairóbi"
"Qual é a capital da Etiópia?","Adis Abeba"
"Qual é a capital do Marrocos?","Rabat"
"Qual é a capital da Argélia?","Argel"
"Qual é a capital de Gana?","Acra"
"Qual é a capital da Tanzânia?","Dodoma"
"Qual é a capital de Uganda?","Kampala"
"Qual é a capital do Zimbábue?","Harare"
"Qual é a capital do Senegal?","Dacar"
"Qual é a capital da Costa do Marfim?","Yamoussoukro"
"Qual é a capital de Camarões?","Yaoundé"
"Qual é a capital de Angola?","Luanda"
"Qual é a capital da Arábia Saudita?","Riad"
"Qual é a capital do Irã?","Teerã"
"Qual é a capital do Iraque?","Bagdá"
"Qual é a capital de Israel?","Jerusalém"
"Qual é a capital da Jordânia?","Amã"
"Qual é a capital do Líbano?","Beirute"
"Qual é a capital da Síria?","Damasco"
"Qual é a capital dos Emirados Árabes Unidos?","Abu Dhabi"
"Qual é a capital do Catar?","Doha"
"Qual é a capital do Kuwait?","Cidade do Kuwait"
"Qual é a capital do Afeganistão?","Cabul"
"Qual é a capital do Cazaquistão?","Astana"
"Qual é a capital do Uzbequistão?","Tashkent"
"Qual é a capital da Islândia?","Reykjavik"
"Qual é a capital de Luxemburgo?","Cidade de Luxemburgo"
"Qual é a capital de Malta?","Valeta"
"Qual é a capital do Chipre?","Nicósia"
"Qual é a capital da Estônia?","Tallinn"
"Qual é a capital da Letônia?","Riga"
"Qual é a capital da Lituânia?","Vilnius"
"Qual é a capital da Bielorrússia?","Minsk"
"Qual é a capital da Moldávia?","Chisinau"
"Qual é a capital da Albânia?","Tirana"
"Qual é a capital da Macedônia do Norte?","Skopje"
"Qual é a capital de Montenegro?","Podgorica"
"Qual é a capital da Bósnia e Herzegovina?","Sarajevo"
"Qual é a capital do Kosovo?","Pristina"
"Qual é a capital da Geórgia?","Tbilisi"
"Qual é a capital da Armênia?","Erevan"
"Qual é a capital do Azerbaijão?","Baku"
"Qual é a capital do Laos?","Vientiane"
"Qual é a capital de Brunei?","Bandar Seri Begawan"
"Qual é a capital do Timor-Leste?","Díli"
"Qual é a capital de Fiji?","Suva"
"Qual é a capital de Papua Nova Guiné?","Port Moresby"
"Qual é a capital da Líbia?","Trípoli"
"Qual é a capital da Tunísia?","Túnis"
"Qual é a capital do Sudão?","Cartum"
"Qual é a capital do Sudão do Sul?","Juba"
"Qual é a capital da República Democrática do Congo?","Kinshasa"
"Qual é a capital da República do Congo?","Brazzaville"
"Qual é a capital de Madagascar?","Antananarivo"
"Qual é a capital de Moçambique?","Maputo"
"Qual é a capital da Zâmbia?","Lusaka"
"Qual é a capital de Botsuana?","Gaborone"
"Qual é a capital da Namíbia?","Windhoek"
"Qual é a capital de Ruanda?","Kigali"
"Qual é a capital de Omã?","Mascate"
"Qual é a capital do Bahrein?","Manama"
"Qual é a capital do Iêmen?","Sana"
"Qual é a capital do Butão?","Thimphu"
"Qual é a capital das Maldivas?","Malé"
"Qual é a capital de Mônaco?","Mônaco"
"Qual é a capital da Cidade do Vaticano?","Cidade do Vaticano"
"Qual é a capital de Andorra?","Andorra la Vella"
"Qual é a capital de Liechtenstein?","Vaduz"
"Qual é a capital de San Marino?","San Marino"
