front,back
¿A qué hora entró en vigor el armisticio?,11 a.m.
¿Qué tratado terminó formalmente la Primera Guerra Mundial?,Tratado de Versalles
¿En qué año se firmó el Tratado de Versalles?,1919
¿Qué país fue culpado por la Primera Guerra Mundial en el tratado?,Alemania
¿Qué cláusula culpó a Alemania por la guerra?,Cláusula de Culpa de Guerra
¿Qué penalizaciones enfrentó Alemania?,Reparaciones, pérdida de territorio, límites militares
¿Qué territorio perdió Alemania ante Francia?,Alsacia-Lorena
¿Qué pasó con las colonias alemanas?,Tomadas por las potencias aliadas
¿Cómo veían los alemanes el Tratado de Versalles?,Severo y humillante
¿Qué nuevos países se crearon después de la Primera Guerra Mundial?,Polonia, Checoslovaquia, Yugoslavia
¿Qué era el nacionalismo?,Fuerte orgullo por la propia nación
¿Cómo contribuyó el nacionalismo a la Primera Guerra Mundial?,Aumentó tensiones y rivalidades
¿Qué era el militarismo?,Construcción de fuerzas armadas
¿Qué era el imperialismo?,Competencia por colonias
¿Qué sistema de alianzas aumentó las tensiones?,Alianzas enredadas
¿Qué acrónimo explica las causas de la Primera Guerra Mundial?,M.A.I.N.
¿Qué significa M en MAIN?,Militarismo
¿Qué significa A en MAIN?,Alianzas
¿Qué significa I en MAIN?,Imperialismo
¿Qué significa N en MAIN?,Nacionalismo
¿Cómo era la vida en las trincheras?,Barro, enfermedades, ratas y bombardeos
¿Qué era el shock de guerra?,Trauma psicológico del combate
¿Qué avances médicos ocurrieron en la Primera Guerra Mundial?,Cirugía plástica, transfusiones de sangre
¿Qué papel desempeñaron las mujeres en la Primera Guerra Mundial?,Fábricas, enfermeras y funciones de apoyo
¿Cómo cambió la Primera Guerra Mundial la guerra?,Introdujo la guerra industrial moderna
¿Cuántos soldados murieron en la Primera Guerra Mundial?,Cerca de 9 millones
¿Cuántos civiles murieron en la Primera Guerra Mundial?,Cerca de 7 millones
¿Por qué se llama a la Primera Guerra Mundial una guerra total?,Sociedades enteras fueron movilizadas
¿Para qué se usó la propaganda?,Apoyar el esfuerzo de guerra
¿Qué terminó con la monarquía alemana?,Revolución Alemana de 1918
¿Cuál era el objetivo de la Liga de las Naciones?,Prevenir guerras futuras
¿Por qué fracasó la Liga de las Naciones?,Falta de aplicación y ausencia de EE.UU.
¿Cómo contribuyó la Primera Guerra Mundial a la Segunda Guerra Mundial?,Tensiones no resueltas y resentimiento
