"front","back"
"Azure IAM Access Reviews","Identity Center access / IAM Access Analyzer (partial)"
"Azure Conditional Access","Identity Center policies (partial) + AWS Verified Access (app access)"
"Azure Backup","AWS Backup"
"Azure Site Recovery (ASR)","AWS Elastic Disaster Recovery"
"Azure Recovery Services Vault","AWS Backup Vault"
"Azure Managed HSM","AWS CloudHSM"
"Azure KMS (Key Vault keys)","AWS KMS"
"Azure Certificate Manager (Key Vault certs)","AWS Certificate Manager (ACM)"
"Azure Container Apps","AWS App Runner / ECS with Fargate"
"Azure Spring Apps","AWS Elastic Beanstalk (Java) / App Runner"
"Azure App Configuration","AWS AppConfig"
"Azure SignalR Service","Amazon API Gateway (WebSocket) + AWS AppSync"
"Azure Cognitive Services (general)","""AWS AI Services (e.g., Rekognition/Comprehend/Polly)"""
"Azure OpenAI Service","Amazon Bedrock (managed foundation models)"
"Azure Machine Learning","AWS SageMaker"
"Azure Form Recognizer","AWS Textract"
"Azure Cognitive Vision","Amazon Rekognition"
"Azure Text Analytics","Amazon Comprehend"
"Azure Speech Services","Amazon Transcribe / Polly"
"Azure Translator","Amazon Translate"
"Azure Bot Service","Amazon Lex"
"Azure Purview","AWS Glue Data Catalog + Lake Formation"
"Azure Governance (Policy/Blueprints)","AWS Config + Control Tower + Organizations"
"Azure Managed Grafana","Amazon Managed Grafana"
"Azure Managed Prometheus","Amazon Managed Service for Prometheus"
"Azure Arc","AWS Systems Manager (hybrid) + Outposts (partial)"
"Azure Stack","AWS Outposts"
"Azure Storage Accounts","AWS S3 buckets + EBS/EFS resources (no single container)"
"Azure Availability Zone Pairs","Multi-AZ (no fixed pairing concept)"
"Azure Dedicated Circuit (ExpressRoute)","AWS Direct Connect"
"Azure Firewall Manager (policy)","AWS Firewall Manager"
"Azure Container Networking (CNI in AKS)","VPC CNI in EKS"
"Azure AD Domain Services","AWS Directory Service (Managed Microsoft AD)"
"Azure DNS Private Zones","Route 53 Private Hosted Zones"
"Azure Private DNS Resolver","Route 53 Resolver"
"Azure Network Watcher","VPC Flow Logs + Reachability Analyzer"
"Azure VM Extensions","AWS SSM Agent + Run Command"
"Azure Update Management","AWS Systems Manager Patch Manager"
"Azure Defender for Servers","Amazon Inspector + GuardDuty"
"Azure Defender for Storage","Macie + S3 security tooling"
"Azure Database Migration Service (DMS)","AWS Database Migration Service"
"Azure Migrate","AWS Application Discovery Service + Migration Hub"
"Azure Container Storage (CSI)","EBS/EFS CSI drivers"
"Azure Dedicated SQL Pool (Synapse)","Amazon Redshift (RA3) / Spectrum"
"Azure Synapse Pipelines","AWS Glue / Step Functions (or MWAA)"
"Azure Managed Airflow","AWS Managed Workflows for Apache Airflow (MWAA)"
"Azure Redis Enterprise","Amazon ElastiCache (Redis) / MemoryDB for Redis"
"Azure Memory-Optimized Tables","Amazon Aurora (memory-optimized options vary)"
"Azure Data Explorer (Kusto)","Amazon OpenSearch (logs) / Athena (queries) / Timestream (time series)"
"Azure Time Series Insights","Amazon Timestream"
"Azure WebJobs","AWS Lambda / EventBridge schedules"
"Azure Scheduler (legacy)","Amazon EventBridge Scheduler"
"Azure Chaos Studio","AWS Fault Injection Simulator"
"Azure Lighthouse","AWS IAM cross-account access + Organizations"
"Azure Confidential Computing (VMs)","AWS Nitro Enclaves / Confidential EC2 (where available)"
"Azure Dedicated HSM","CloudHSM"
"Azure Service Endpoint for Storage","VPC Gateway Endpoint for S3 (closest)"
"Azure SQL Elastic Pools","Amazon RDS (read replicas/cluster) / Aurora Serverless"
"Azure Synapse Serverless SQL","Athena"
"Azure Data Share","AWS Data Exchange"
